name,description,stars,forks,language,readme
a11y,No description,5,8,HTML,"
([Français](#gabarit-pour-dépôts-de-code-source-ouvert-du-gouvernement-du-canada))

**Note: This pr"
accelerators_accelerateurs-aws,[AWS] Tools and templates to accelerate GC service delivery. Outils et modèles pour accélérer la prestation de services du GC.,16,3,None specified,"# GC Accelerators (AWS)

AWS has developed a project called the AWS Secure Environment Accelerator ("
accelerators_accelerateurs-azure,[AZURE] Tools and templates to accelerate GC service delivery. Outils et modèles pour accélérer la prestation de services du GC.,37,14,PowerShell,"([Français](#gc-accelerateurs-azure))

## Azure Landing Zones for Canadian Public Sector

Microsoft "
accelerators_accelerateurs-gcp,[GCP] Tools and templates to accelerate GC service delivery. Outils et modèles pour accélérer la prestation de services du GC.,10,8,HCL,"
# GC Accelerators (GCP)

[![Open this project in Google Cloud Shell](http://gstatic.com/cloudssh/im"
aia-eia,Algorithmic Impact Assessment - Évaluation de l'incidence algorithmique (Python prototype),3,2,HTML,[![Build Status](https://travis-ci.com/canada-ca/aia-eia.svg?branch=master)](https://travis-ci.com/c
aia-eia-js,Algorithmic Impact Assessment - Évaluation de l'incidence algorithmique (TS/JS),63,43,Vue,[![Build Status](https://travis-ci.com/canada-ca/aia-eia-js.svg?branch=master)](https://travis-ci.co
aia-eia-js2,Algorithmic Impact Assessment - Évaluation de l'incidence algorithmique (JS Prototype),0,0,HTML,README not available
aia-eia-net,Algorithmic Impact Assessment - Évaluation de l'incidence algorithmique (.NET prototype),1,1,JavaScript,[![Build Status](https://travis-ci.com/canada-ca/aia-eia-net.svg?branch=master)](https://travis-ci.c
alexapoc-ccbpaymentdates,No description,0,0,JavaScript,# alexapoc-ccbpaymentdates
alexapoc-healthcanada-recalls,Alexa Proof of Concept - Health Canada - Recalls and Safety Alerts Amazon Alexa Voice Skill,2,0,JavaScript,"# Alexa Proof of Concept

--------------------------------------

## Health Canada Recalls and Safet"
alexapoc-vdpalexa,Proof-of-concept for delivering service on Alexa / Validation de principe pour la prestation de service via Alexa,10,1,None specified,"# alexapoc-vdpalexa

## [English] Proof-of-concept for delivering service on Alexa

To learn more, p"
alexapoc-vrdb,No description,0,0,JavaScript,README not available
architecture,Repository for the storage of architectural modeling ,44,19,JavaScript,"# Open Government of Canada Architecture Git Repository

The canada-ca/architecture repository is me"
Azure_LZBCA-AIZDB,Azure Landing Zone Base Cloud Architecture - Architecture infonuagique zone d'atterrissage de base,13,6,PowerShell,"# Azure_LZBCA-AIZDB
Azure Landing Zone Base Cloud Architecture - Architecture infonuagique zone d'at"
blog-dto,Canada.ca blog: Digital Transformation Office,3,2,HTML,"#blog-dto  

Prep repo for the move
"
blogue-btn,blogue de Canada.ca - Bureau de la transformation numérique,1,2,HTML,"# blogue-btn
blogue de Canada.ca - nous sommes en train de restructurer
"
blogue-canada-ca-blog,Canada.ca blog: Digital Transformation Office | blogue de Canada.ca - Bureau de la transformation numérique,4,9,HTML,[![Contributor Covenant](https://img.shields.io/badge/Contributor%20Covenant-v1.4%20adopted-ff69b4.s
caf-tg,No description,1,0,None specified,# caf-tg
canada-bot,No description,3,1,JavaScript,"# 🤖 CanadaBot
The Pull Request Bot for Anonymous contributions on GitHub!

---
With PRB0t you can ma"
canada-ca-jekyll-boilerplate,A repository set as a Jekyll boilerplate to build a site with the Canada.ca template from GCWeb-Jekyll (wet-boew/gcweb-jekyll),0,6,HTML,[![Contributor Covenant](https://img.shields.io/badge/Contributor%20Covenant-v1.4%20adopted-ff69b4.s
canada-ca.github.io,Stories and insights about the design of Canada.ca,16,14,HTML,"# canada-ca.github.io
Github pages: content to redirect to new blog space(s)

[Alpha Blog](https://c"
CATS-STAE,Cyber Authentication Technology - Technologie d’authentification électronique,16,1,Shell,"# Cyber Authentication Technology

Cyber authentication allows individuals and businesses to securel"
